,level_0,index,job,sex,year_x,count_x,perc,year_y,count_y,std,together
50,37,67,Apprentice - Mechanic,men,1930,1011,2.0746898184000002e-05,47.483814544307265,1507.68828754945,3.5034799159481304e-05,2.0746898184000002e-05
51,36,66,Apprentice - Mechanic,men,1920,1313,3.1270494468e-05,47.483814544307265,1507.68828754945,3.5034799159481304e-05,3.1270494468e-05
52,39,69,Apprentice - Mechanic,men,1950,4726,7.7805871781e-05,47.483814544307265,1507.68828754945,3.5034799159481304e-05,7.7805871781e-05
53,34,64,Apprentice - Mechanic,men,1900,504,1.6975543529000002e-05,47.483814544307265,1507.68828754945,3.5034799159481304e-05,1.6975543529000002e-05
54,33,63,Apprentice - Mechanic,men,1880,0,0.0,47.483814544307265,1507.68828754945,3.5034799159481304e-05,7.74570238165e-05
55,32,62,Apprentice - Mechanic,men,1870,1710,0.000130245633362,47.483814544307265,1507.68828754945,3.5034799159481304e-05,0.000137938504104
56,31,61,Apprentice - Mechanic,men,1860,1003,0.00011891728597300001,47.483814544307265,1507.68828754945,3.5034799159481304e-05,0.00011891728597300001
57,30,60,Apprentice - Mechanic,men,1850,0,0.0,47.483814544307265,1507.68828754945,3.5034799159481304e-05,8.157826396704444e-05
58,35,65,Apprentice - Mechanic,men,1910,0,0.0,47.483814544307265,1507.68828754945,3.5034799159481304e-05,2.4123018998500004e-05
59,43,73,Apprentice - Mechanic,men,1990,0,0.0,47.483814544307265,1507.68828754945,3.5034799159481304e-05,4.4081885580500005e-05
60,68,128,Blaster,men,1940,6971,0.000133977107653,47.483814544307265,4406.72983361095,4.994647332279881e-05,0.00013785938792000002
61,74,134,Blaster,men,2000,11083,6.5922227486e-05,47.483814544307265,4406.72983361095,4.994647332279881e-05,7.2982561693e-05
62,73,133,Blaster,men,1990,10256,6.8774203954e-05,47.483814544307265,4406.72983361095,4.994647332279881e-05,7.2375193377e-05
63,72,132,Blaster,men,1980,12387,9.639475822300001e-05,47.483814544307265,4406.72983361095,4.994647332279881e-05,0.00010060478197300001
64,71,131,Blaster,men,1970,10522,9.630080439400001e-05,47.483814544307265,4406.72983361095,4.994647332279881e-05,9.998004060000001e-05
65,70,130,Blaster,men,1960,8858,0.00010192445522300001,47.483814544307265,4406.72983361095,4.994647332279881e-05,0.00010307510384800001
66,69,129,Blaster,men,1950,11950,0.00019673723398,47.483814544307265,4406.72983361095,4.994647332279881e-05,0.00019673723398
67,66,126,Blaster,men,1920,2320,5.525327278500001e-05,47.483814544307265,4406.72983361095,4.994647332279881e-05,5.525327278500001e-05
68,65,125,Blaster,men,1910,0,0.0,47.483814544307265,4406.72983361095,4.994647332279881e-05,3.27125631245e-05
69,60,120,Blaster,men,1850,0,0.0,47.483814544307265,4406.72983361095,4.994647332279881e-05,3.336097029542858e-05
70,61,121,Blaster,men,1860,0,0.0,47.483814544307265,4406.72983361095,4.994647332279881e-05,2.810554070571429e-05
71,67,127,Blaster,men,1930,1011,2.0746898184000002e-05,47.483814544307265,4406.72983361095,4.994647332279881e-05,2.0746898184000002e-05
72,63,123,Blaster,men,1880,0,0.0,47.483814544307265,4406.72983361095,4.994647332279881e-05,1.651098229e-05
73,64,124,Blaster,men,1900,302,1.0171853464000001e-05,47.483814544307265,4406.72983361095,4.994647332279881e-05,1.0171853464000001e-05
74,62,122,Blaster,men,1870,300,2.2850111116000003e-05,47.483814544307265,4406.72983361095,4.994647332279881e-05,2.2850111116000003e-05
75,92,182,Farm Advisor,men,1870,0,0.0,47.483814544307265,3617.6466601191532,5.006611399997543e-05,2.5341664739400003e-05
76,93,183,Farm Advisor,men,1880,0,0.0,47.483814544307265,3617.6466601191532,5.006611399997543e-05,3.88271693628e-05
77,94,184,Farm Advisor,men,1900,0,0.0,47.483814544307265,3617.6466601191532,5.006611399997543e-05,5.2312673986200004e-05
78,95,185,Farm Advisor,men,1910,0,0.0,47.483814544307265,3617.6466601191532,5.006611399997543e-05,6.57981786096e-05
79,96,186,Farm Advisor,men,1920,3127,7.4472837931e-05,47.483814544307265,3617.6466601191532,5.006611399997543e-05,7.928368323300001e-05
80,97,187,Farm Advisor,men,1930,4549,9.3350781248e-05,47.483814544307265,3617.6466601191532,5.006611399997543e-05,0.000103713969757
81,98,188,Farm Advisor,men,1940,7677,0.000147545869381,47.483814544307265,3617.6466601191532,5.006611399997543e-05,0.00023441669517200003
82,91,181,Farm Advisor,men,1860,100,1.1856160116e-05,47.483814544307265,3617.6466601191532,5.006611399997543e-05,1.1856160116e-05
83,101,191,Farm Advisor,men,1970,6811,6.2336511949e-05,47.483814544307265,3617.6466601191532,5.006611399997543e-05,0.000161282339387
84,102,192,Farm Advisor,men,1980,0,0.0,47.483814544307265,3617.6466601191532,5.006611399997543e-05,0.00014154306738837501
85,103,193,Farm Advisor,men,1990,0,0.0,47.483814544307265,3617.6466601191532,5.006611399997543e-05,0.00012180379538975001
86,104,194,Farm Advisor,men,2000,0,0.0,47.483814544307265,3617.6466601191532,5.006611399997543e-05,0.000102064523391125
87,99,189,Farm Advisor,men,1950,6357,0.00010465762313,47.483814544307265,3617.6466601191532,5.006611399997543e-05,0.00023847186897
88,90,180,Farm Advisor,men,1850,0,0.0,47.483814544307265,3617.6466601191532,5.006611399997543e-05,9.987149756980005e-05
89,100,190,Farm Advisor,men,1960,7078,8.1442909693e-05,47.483814544307265,3617.6466601191532,5.006611399997543e-05,0.00020527571474
90,58,103,Athlete,men,1990,0,0.0,47.483814544307265,2818.5226504384323,5.402426940811099e-05,4.387182947485715e-05
91,46,91,Athlete,men,1860,100,1.1856160116e-05,47.483814544307265,2818.5226504384323,5.402426940811099e-05,1.1856160116e-05
92,47,92,Athlete,men,1870,201,1.5309574447e-05,47.483814544307265,2818.5226504384323,5.402426940811099e-05,1.5309574447e-05
93,48,93,Athlete,men,1880,498,2.7202288837e-05,47.483814544307265,2818.5226504384323,5.402426940811099e-05,3.8126902828e-05
94,49,94,Athlete,men,1900,3417,0.00011509014333500001,47.483814544307265,2818.5226504384323,5.402426940811099e-05,0.00011509014333500001
95,57,102,Athlete,men,1980,0,0.0,47.483814544307265,2818.5226504384323,5.402426940811099e-05,4.912725906457144e-05
96,51,96,Athlete,men,1920,3735,8.895300597200001e-05,47.483814544307265,2818.5226504384323,5.402426940811099e-05,8.895300597200001e-05
97,52,97,Athlete,men,1930,7579,0.000155529912307,47.483814544307265,2818.5226504384323,5.402426940811099e-05,0.000155529912307
98,53,98,Athlete,men,1940,10153,0.000195132631474,47.483814544307265,2818.5226504384323,5.402426940811099e-05,0.00020950859999
99,54,99,Athlete,men,1950,8927,0.000146968475961,47.483814544307265,2818.5226504384323,5.402426940811099e-05,0.000149520297824
100,55,100,Athlete,men,1960,4387,5.0478955188000005e-05,47.483814544307265,2818.5226504384323,5.402426940811099e-05,5.963811824400001e-05
101,56,101,Athlete,men,1970,0,0.0,47.483814544307265,2818.5226504384323,5.402426940811099e-05,5.438268865428572e-05
102,59,104,Athlete,men,2000,0,0.0,47.483814544307265,2818.5226504384323,5.402426940811099e-05,3.861639988514286e-05
103,50,95,Athlete,men,1910,0,0.0,47.483814544307265,2818.5226504384323,5.402426940811099e-05,0.00010202157465350001
104,45,90,Athlete,men,1850,204,3.7734439075000006e-05,47.483814544307265,2818.5226504384323,5.402426940811099e-05,3.7734439075000006e-05
105,15,30,Apprentice - Bricklayer,men,1850,0,0.0,47.483814544307265,1885.156815026638,5.6240753518110684e-05,9.930289487763396e-05
106,16,31,Apprentice - Bricklayer,men,1860,1204,0.00014274816780800002,47.483814544307265,1885.156815026638,5.6240753518110684e-05,0.00014274816780800002
107,17,32,Apprentice - Bricklayer,men,1870,3320,0.00025287456302,47.483814544307265,1885.156815026638,5.6240753518110684e-05,0.00025287456302
108,18,33,Apprentice - Bricklayer,men,1880,699,3.8181525898000006e-05,47.483814544307265,1885.156815026638,5.6240753518110684e-05,3.8181525898000006e-05
109,19,34,Apprentice - Bricklayer,men,1900,1004,3.3816360523e-05,47.483814544307265,1885.156815026638,5.6240753518110684e-05,3.3816360523e-05
110,20,35,Apprentice - Bricklayer,men,1910,0,0.0,47.483814544307265,1885.156815026638,5.6240753518110684e-05,1.8110891587e-05
111,21,36,Apprentice - Bricklayer,men,1920,101,2.405422651e-06,47.483814544307265,1885.156815026638,5.6240753518110684e-05,2.405422651e-06
112,22,37,Apprentice - Bricklayer,men,1930,2021,4.1473275204000004e-05,47.483814544307265,1885.156815026638,5.6240753518110684e-05,4.1473275204000004e-05
113,23,38,Apprentice - Bricklayer,men,1940,0,0.0,47.483814544307265,1885.156815026638,5.6240753518110684e-05,8.89772932375e-05
114,24,39,Apprentice - Bricklayer,men,1950,8290,0.000136481311271,47.483814544307265,1885.156815026638,5.6240753518110684e-05,0.000136481311271
115,25,40,Apprentice - Bricklayer,men,1960,2991,3.4415900380000004e-05,47.483814544307265,1885.156815026638,5.6240753518110684e-05,3.4415900380000004e-05
116,26,41,Apprentice - Bricklayer,men,1970,4710,4.3107468988000005e-05,47.483814544307265,1885.156815026638,5.6240753518110684e-05,4.4937934762e-05
117,27,42,Apprentice - Bricklayer,men,1980,3562,2.7719232162000003e-05,47.483814544307265,1885.156815026638,5.6240753518110684e-05,2.8808702263000003e-05
118,29,44,Apprentice - Bricklayer,men,2000,0,0.0,47.483814544307265,1885.156815026638,5.6240753518110684e-05,4.423924196108887e-05
119,28,43,Apprentice - Bricklayer,men,1990,976,6.544815040000001e-06,47.483814544307265,1885.156815026638,5.6240753518110684e-05,6.900219955133297e-06
120,162,312,Scientist - Agriculture,men,1980,21680,0.000168712227196,47.483814544307265,7934.131069038982,5.679257635570965e-05,0.000222749944246
121,150,300,Scientist - Agriculture,men,1850,0,0.0,47.483814544307265,7934.131069038982,5.679257635570965e-05,3.235438990036364e-05
122,151,301,Scientist - Agriculture,men,1860,0,0.0,47.483814544307265,7934.131069038982,5.679257635570965e-05,2.8966510459636366e-05
123,152,302,Scientist - Agriculture,men,1870,0,0.0,47.483814544307265,7934.131069038982,5.679257635570965e-05,2.5578631018909093e-05
124,153,303,Scientist - Agriculture,men,1880,0,0.0,47.483814544307265,7934.131069038982,5.679257635570965e-05,2.219075157818182e-05
125,154,304,Scientist - Agriculture,men,1900,0,0.0,47.483814544307265,7934.131069038982,5.679257635570965e-05,1.8802872137454548e-05
126,155,305,Scientist - Agriculture,men,1910,0,0.0,47.483814544307265,7934.131069038982,5.679257635570965e-05,1.5414992696727275e-05
127,156,306,Scientist - Agriculture,men,1920,404,9.621690605e-06,47.483814544307265,7934.131069038982,5.679257635570965e-05,1.2027113256e-05
128,157,307,Scientist - Agriculture,men,1930,3032,6.2220173389e-05,47.483814544307265,7934.131069038982,5.679257635570965e-05,7.2583361898e-05
129,158,308,Scientist - Agriculture,men,1940,0,0.0,47.483814544307265,7934.131069038982,5.679257635570965e-05,8.350038542e-05
130,159,309,Scientist - Agriculture,men,1950,5534,9.1108272204e-05,47.483814544307265,7934.131069038982,5.679257635570965e-05,9.4417408942e-05
131,160,310,Scientist - Agriculture,men,1960,8576,9.8679626099e-05,47.483814544307265,7934.131069038982,5.679257635570965e-05,0.000110151592892
132,161,311,Scientist - Agriculture,men,1970,12623,0.00011552984735500001,47.483814544307265,7934.131069038982,5.679257635570965e-05,0.00012747363653300002
133,164,314,Scientist - Agriculture,men,2000,24723,0.000147053616362,47.483814544307265,7934.131069038982,5.679257635570965e-05,0.00019979496718
134,163,313,Scientist - Agriculture,men,1990,28764,0.00019288428262,47.483814544307265,7934.131069038982,5.679257635570965e-05,0.000268189890109
135,133,253,Midwife,men,1990,0,0.0,47.483814544307265,1629.5117737192497,5.7271204895893066e-05,1.2173501421000002e-05
136,120,240,Midwife,men,1850,0,0.0,47.483814544307265,1629.5117737192497,5.7271204895893066e-05,0.00012577102056966668
137,121,241,Midwife,men,1860,0,0.0,47.483814544307265,1629.5117737192497,5.7271204895893066e-05,0.00016646048804200002
138,122,242,Midwife,men,1870,0,0.0,47.483814544307265,1629.5117737192497,5.7271204895893066e-05,9.162894557600001e-05
139,124,244,Midwife,men,1900,0,0.0,47.483814544307265,1629.5117737192497,5.7271204895893066e-05,0.00018939182791200001
140,125,245,Midwife,men,1910,252,6.4733395250000005e-06,47.483814544307265,1629.5117737192497,5.7271204895893066e-05,0.000129441102653
141,134,254,Midwife,men,2000,0,0.0,47.483814544307265,1629.5117737192497,5.7271204895893066e-05,1.1839893428000001e-05
142,127,247,Midwife,men,1930,0,0.0,47.483814544307265,1629.5117737192497,5.7271204895893066e-05,7.2624404229e-05
143,128,248,Midwife,men,1940,0,0.0,47.483814544307265,1629.5117737192497,5.7271204895893066e-05,4.6149063813000004e-05
144,129,249,Midwife,men,1950,109,1.7945069870000002e-06,47.483814544307265,1629.5117737192497,5.7271204895893066e-05,1.9673723397e-05
145,130,250,Midwife,men,1960,600,6.903891751e-06,47.483814544307265,1629.5117737192497,5.7271204895893066e-05,2.2909414127e-05
146,131,251,Midwife,men,1970,200,1.8304657740000002e-06,47.483814544307265,1629.5117737192497,5.7271204895893066e-05,1.2840717407000002e-05
147,132,252,Midwife,men,1980,0,0.0,47.483814544307265,1629.5117737192497,5.7271204895893066e-05,1.2507109414000003e-05
148,126,246,Midwife,men,1920,101,2.405422651e-06,47.483814544307265,1629.5117737192497,5.7271204895893066e-05,0.00011529357480800001
149,123,243,Midwife,men,1880,0,0.0,47.483814544307265,1629.5117737192497,5.7271204895893066e-05,0.000141582997324
150,80,155,College President / Dean,men,1910,0,0.0,47.483814544307265,6759.631563788141,6.191760535800595e-05,1.4209406146500003e-05
151,75,150,College President / Dean,men,1850,101,1.8682246797e-05,47.483814544307265,6759.631563788141,6.191760535800595e-05,1.8682246797e-05
152,76,151,College President / Dean,men,1860,101,1.1974721718e-05,47.483814544307265,6759.631563788141,6.191760535800595e-05,2.3949443436e-05
153,77,152,College President / Dean,men,1870,101,7.692870742000001e-06,47.483814544307265,6759.631563788141,6.191760535800595e-05,1.5309574447000003e-05
154,78,153,College President / Dean,men,1880,398,2.1739981842000003e-05,47.483814544307265,6759.631563788141,6.191760535800595e-05,2.1739981842000003e-05
155,79,154,College President / Dean,men,1900,201,6.770008431e-06,47.483814544307265,6759.631563788141,6.191760535800595e-05,6.770008431e-06
156,88,163,College President / Dean,men,1990,0,0.0,47.483814544307265,6759.631563788141,6.191760535800595e-05,0.00027590217247740005
157,83,158,College President / Dean,men,1940,0,0.0,47.483814544307265,6759.631563788141,6.191760535800595e-05,5.70306307735e-05
158,84,159,College President / Dean,men,1950,4142,6.8191265535e-05,47.483814544307265,6759.631563788141,6.191760535800595e-05,9.3314363363e-05
159,85,160,College President / Dean,men,1960,6378,7.3388369317e-05,47.483814544307265,6759.631563788141,6.191760535800595e-05,9.060207275e-05
160,86,161,College President / Dean,men,1970,34354,0.00031441910607900005,47.483814544307265,6759.631563788141,6.191760535800595e-05,0.00045193284738500006
161,87,162,College President / Dean,men,1980,0,0.0,47.483814544307265,6759.631563788141,6.191760535800595e-05,0.0003639175099312001
162,89,164,College President / Dean,men,2000,0,0.0,47.483814544307265,6759.631563788141,6.191760535800595e-05,0.00018788683502360008
163,81,156,College President / Dean,men,1920,505,1.2027113257e-05,47.483814544307265,6759.631563788141,6.191760535800595e-05,2.1648803862000003e-05
164,82,157,College President / Dean,men,1930,1011,2.0746898184000002e-05,47.483814544307265,6759.631563788141,6.191760535800595e-05,2.0746898184000002e-05
